Date/Time,Open,High,Low,Close,MACD,MACD_signal,MACD_hist,K,D,J,ATR (14),ATR (200),Supply Zone,Demand Zone,Entry Price,Stop Loss,Take Profit,Exit Price,Trade Status,Running PnL %
2025-06-22 00:00:00,103560.9,103640,102210.43,102245.1,-613.8046231,-473.9645624,-139.8400608,21.36394462,30.59736893,2.897096011,982.71,1159.98,105757.48 - 106524.65 | bar 1022 | 2025-06-20 16:00:00,101429.70 - 102791.32 | bar 792 | 2025-05-13 08:00:00,,,,,,
2025-06-22 04:00:00,102245.11,102888.88,100837.9,102120.01,-699.9407543,-519.1598008,-180.7809536,22.28910451,27.82794745,11.21141862,1069.28,1156.02,102345.00 - 104269.64 | bar 1024 | 2025-06-21 00:00:00,101429.70 - 102791.32 | bar 792 | 2025-05-13 08:00:00,,,,,,
2025-06-22 08:00:00,102120.02,103399.62,101839.96,102375.4,-739.0768029,-563.1432012,-175.9336017,29.79351806,28.48313766,32.41427887,1117.44,1158.47,102345.00 - 104269.64 | bar 1024 | 2025-06-21 00:00:00,101429.70 - 102791.32 | bar 792 | 2025-05-13 08:00:00,102375.40,100870.98,105757.48,,OPEN LONG,
2025-06-22 12:00:00,102375.4,102946.47,102256.01,102424.61,-757.3908375,-601.9927285,-155.3981091,36.68101189,31.2157624,47.61151086,1113.30,1157.85,102345.00 - 104269.64 | bar 1024 | 2025-06-21 00:00:00,101429.70 - 102791.32 | bar 792 | 2025-05-13 08:00:00,102375.40,100870.98,105757.48,,RUNNING LONG,0.05%
2025-06-22 16:00:00,102424.61,102804.05,102080,102739.48,-737.9903708,-629.1922569,-108.7981138,44.61020526,35.68057669,62.4694624,1134.41,1154.87,102345.00 - 104269.64 | bar 1024 | 2025-06-21 00:00:00,101429.70 - 102791.32 | bar 792 | 2025-05-13 08:00:00,102375.40,100870.98,105757.48,,RUNNING LONG,0.36%
2025-06-22 20:00:00,102739.47,102831,98889.35,98906.21,-1020.168348,-707.3874752,-312.7808732,29.85047809,33.73721049,22.0770133,1302.55,1167.23,102345.00 - 104269.64 | bar 1024 | 2025-06-21 00:00:00,95784.61 - 96961.04 | bar 760 | 2025-05-08 00:00:00,102375.40,100870.98,105757.48,98906.21,HIT STOP LOSS,-3.39%
2025-06-23 00:00:00,98906.21,100380,98673.66,98882.84,-1231.486384,-812.207257,-419.279127,21.21369091,29.56270396,4.515664814,1369.63,1172.91,102345.00 - 104269.64 | bar 1024 | 2025-06-21 00:00:00,95784.61 - 96961.04 | bar 760 | 2025-05-08 00:00:00,,,,,,
2025-06-23 04:00:00,98882.85,101034.65,98200,100963.87,-1217.006823,-893.1671702,-323.8396531,30.17473782,29.76671525,30.99078295,1410.60,1181.05,102345.00 - 104269.64 | bar 1024 | 2025-06-21 00:00:00,95784.61 - 96961.04 | bar 760 | 2025-05-08 00:00:00,,,,,,
2025-06-23 08:00:00,100963.87,101620,100494.25,101154.14,-1176.615181,-949.8567724,-226.7584086,38.21783992,32.5837568,49.48600614,1353.53,1175.94,102345.00 - 104269.64 | bar 1024 | 2025-06-21 00:00:00,95784.61 - 96961.04 | bar 760 | 2025-05-08 00:00:00,,,,,,
2025-06-23 12:00:00,101154.13,102137,100980,101931.04,-1069.585659,-973.8025496,-95.78310896,49.39723092,38.18824818,71.81519642,1374.44,1174.81,102345.00 - 104269.64 | bar 1024 | 2025-06-21 00:00:00,95784.61 - 96961.04 | bar 760 | 2025-05-08 00:00:00,,,,,,
